fecha,valor
2024-10-22,1032.44
2024-10-23,1025.17
2024-10-24,1021.22
2024-10-25,1022.82
2024-10-28,1025.65
2024-10-29,1023.02
2024-10-30,1027.43
2024-11-04,1044.09
2024-11-05,1041.3
2024-11-06,1043.26
2024-11-07,1039.94
2024-11-08,1026.99
2024-11-11,1030.26
2024-11-12,1044.28
2024-11-13,1042.78
2024-11-14,1037.42
2024-11-15,1030.03
2024-11-18,1028.29
2024-11-19,1034.04
2024-11-20,1029.96
2024-11-21,1024.2
2024-11-22,1017.91
2024-11-25,1022.36
2024-11-26,1023.78
2024-11-27,1020.9
2024-11-28,1031.74
2024-11-29,1031.25
2024-12-02,1031.72
2024-12-03,1026.96
2024-12-04,1023.19
2024-12-05,1026.52
2024-12-06,1026.46
2024-12-09,1025.56
2024-12-10,1025.18
2024-12-11,1022.1
2024-12-12,1024.15
2024-12-13,1024.76
2024-12-16,1031.96
2024-12-17,1040.5
2024-12-18,1040.83
2024-12-19,1035.34
2024-12-20,1032.92
2024-12-23,1034.2
2024-12-24,1032.96
2024-12-26,1027.61
2024-12-27,1031.81
2024-12-30,1033.57
2025-01-02,1035.28
2025-01-03,1025.9
2025-01-06,1042.25
2025-01-07,1049.71
2025-01-08,1042.66
2025-01-09,1038.03
2025-01-10,1033.69
2025-01-13,1033.7
2025-01-14,1034.59
2025-01-15,1033.29
2025-01-16,1030.69
2025-01-17,1041.4
2025-01-20,1040.88
2025-01-21,1040.43
2025-01-22,1044.88
2025-01-23,1036.47
2025-01-24,1031.93
2025-01-27,1033.49
2025-01-28,1033.82
2025-01-29,1034.59
2025-01-30,1032.66
2025-01-31,1029.27
2025-02-03,1025.66
2025-02-04,1015.03
2025-02-05,1013.98
2025-02-06,1009.97
2025-02-07,1004.04
2025-02-10,991.64
2025-02-11,990.73
2025-02-12,995.13
2025-02-13,996.28
2025-02-14,990.42
2025-02-17,986.7
2025-02-18,992.8
2025-02-19,992.82
2025-02-20,990.72
2025-02-21,990.61
2025-02-24,985.59
2025-02-25,992.0
2025-02-26,987.4
2025-02-27,989.45
2025-02-28,990.02
2025-03-03,992.53
2025-03-04,999.8
2025-03-05,999.86
2025-03-06,1010.14
2025-03-07,1000.89
2025-03-10,1006.34
2025-03-11,1008.92
2025-03-12,1024.76
2025-03-13,1017.0
2025-03-14,1021.07
2025-03-17,1014.54
2025-03-18,1007.88
2025-03-19,1004.78
2025-03-20,997.67
2025-03-21,1004.17
2025-03-24,1008.15
2025-03-25,999.69
2025-03-26,994.29
2025-03-27,991.15
2025-03-28,1005.99
2025-03-31,1023.7
2025-04-01,1030.68
2025-04-02,1021.57
2025-04-03,1030.97
2025-04-04,1043.88
2025-04-07,1067.4
2025-04-08,1082.95
2025-04-09,1088.48
2025-04-10,1094.7
2025-04-11,1110.33
2025-04-14,1105.94
2025-04-15,1096.19
2025-04-16,1090.11
2025-04-17,1102.65
2025-04-21,1100.43
2025-04-22,1107.18
2025-04-23,1086.13
2025-04-24,1061.95
2025-04-25,1066.54
2025-04-28,1065.57
2025-04-29,1069.76
2025-04-30,1075.93
2025-05-02,1084.51
2025-05-05,1063.34
2025-05-06,1062.83
2025-05-07,1067.69
2025-05-08,1072.66
2025-05-09,1056.48
2025-05-12,1050.73
2025-05-13,1042.42
2025-05-14,1051.3
2025-05-15,1049.99
2025-05-16,1050.79
2025-05-19,1052.91
2025-05-20,1051.87
2025-05-22,1062.36
2025-05-23,1065.33
2025-05-26,1068.86
2025-05-27,1067.93
2025-05-28,1063.17
2025-05-29,1061.42
2025-05-30,1066.65
2025-06-02,1069.93
2025-06-03,1074.01
2025-06-04,1070.89
2025-06-05,1070.24
2025-06-06,1064.73
2025-06-09,1064.41
2025-06-10,1070.84
2025-06-11,1072.39
2025-06-12,1075.78
2025-06-13,1076.8
2025-06-16,1082.64
2025-06-17,1082.79
2025-06-18,1078.4
2025-06-19,1084.45
2025-06-23,1087.54
2025-06-24,1099.59
2025-06-25,1090.19
2025-06-26,1090.99
2025-06-27,1091.06
2025-06-30,1094.3
2025-07-01,1099.05
2025-07-02,1091.43
2025-07-03,1092.97
2025-07-04,1090.33
2025-07-07,1097.9
2025-07-08,1100.9
2025-07-09,1108.31
2025-07-10,1110.85
2025-07-11,1111.22
2025-07-14,1117.29
2025-07-15,1128.48
2025-07-17,1120.24
2025-07-18,1120.0
2025-07-21,1117.56
2025-07-22,1118.37
2025-07-23,1119.8
2025-07-24,1116.78
2025-07-25,1119.27
2025-07-28,1124.6
2025-07-29,1123.96
2025-07-30,1120.07
2025-07-31,1121.51
2025-08-01,1116.22
2025-08-04,1116.02
2025-08-05,1115.81
2025-08-06,1118.08
2025-08-07,1138.55
2025-08-08,1130.36
2025-08-11,1125.59
2025-08-12,1126.07
2025-08-13,1122.85
2025-08-14,1114.14
2025-08-18,1119.33
2025-08-19,1126.94
2025-08-20,1122.26
2025-08-21,1125.17
2025-08-22,1124.74
2025-08-25,1130.84
2025-08-26,1119.59
2025-08-27,1123.28
2025-08-28,1126.72
2025-08-29,1130.63
2025-09-01,1128.98
2025-09-02,1133.5
2025-09-03,1133.37
2025-09-04,1130.7
2025-09-05,1131.04
2025-09-08,1130.28
2025-09-09,1135.46
2025-09-10,1132.22
2025-09-11,1126.92
2025-09-12,1121.05
2025-09-15,1120.14
2025-09-16,1119.12
2025-09-17,1125.9
2025-09-22,1127.48
2025-09-23,1125.72
2025-09-24,1125.39
2025-09-25,1118.83
2025-09-26,1115.23
2025-09-29,1121.65
2025-09-30,1127.03
2025-10-01,1131.16
2025-10-02,1124.89
2025-10-03,1126.58
2025-10-06,1130.61
2025-10-07,1128.0
2025-10-08,1122.46
2025-10-09,1104.15
2025-10-10,1096.84
2025-10-13,1107.29
2025-10-14,1108.4
